"var","cat","value","value2"
"Sex","0",6165.66489215654,-6.81970886985825
"Sex","1",6651.76321808292,0.526584566444853
"Ethnicity","2",7492.98562564757,13.2397874753133
"Ethnicity","3",6085.67815670629,-8.02853020967612
"Ethnicity","4",5553.70877281994,-16.0680625115224
"Ethnicity","5",5354.00321526191,-19.0861671797208
"Ethnicity","6",6140.28784500945,-7.20322641136414
"Ethnicity","7",10141.4225006922,53.2650115789453
"Mother_Edu","0",5874.27613467892,-11.2234008850302
"Mother_Edu","1",6543.95146650992,-1.10274991321556
"Mother_Edu","2",7358.65914864033,11.2097419809591
"Mother_Edu","3",8025.02266816413,21.280342286649
"Mother_Edu","4",9894.25935021283,49.5296911031913
"Mother_Edu","5",11640.2731055438,75.9167998553931
"Mother_Edu","6",16929.1199723476,155.845939601286
"Father_Edu","0",5289.33125355963,-20.063539827242
"Father_Edu","1",5989.66122911719,-9.47961219720925
"Father_Edu","2",6573.60514005855,-0.654600689625013
"Father_Edu","3",7327.69736159233,10.7418235355839
"Father_Edu","4",8650.98320925868,30.740341569025
"Father_Edu","5",9812.55366358859,48.2948916452577
"Father_Edu","6",13190.4437298954,99.3441759137687
"Birth_Area","1",9444.59685048493,42.7340440208701
"Birth_Area","2",6714.74280627756,1.47838075807681
"Birth_Area","3",7838.42316314726,18.460306409524
"Birth_Area","4",8361.96074985415,26.3724108784155
"Birth_Area","5",6122.21829175177,-7.47630745981429
"Birth_Area","6",9237.03149107803,39.5971559550475
"Birth_Area","7",8739.81272387976,32.0828018191548
"Birth_Area","8",7124.88013034775,7.67669285071321
"Birth_Area","9",4912.03011854094,-25.7656060633585
"Birth_Area","10",4005.40557117153,-39.4672166353314
"Birth_Area","11",6015.69759905674,-9.08613046030433
"Birth_Area","18",6890.65082268015,4.13683859956127
"Birth_Area","19",5546.50862353323,-16.1768767300131
"Birth_Area","20",5332.53692498907,-19.4105823420906
"Birth_Area","21",4272.02865934538,-35.4378025473777
"Birth_Area","22",6140.43185842842,-7.20104996931934
"Birth_Area","23",5186.58434458091,-21.6163304927773
"Birth_Area","24",6225.37390348431,-5.91734016252025
"Birth_Area","27",7389.78980609523,11.680212526384
"Birth_Area","28",6401.74907420347,-3.25182232410413
"Birth_Area","29",7209.97279265484,8.9626789017715
"Birth_Area","32",6388.71166732974,-3.448853688819
"Birth_Area","33",5670.33571608622,-14.3055060448232
